name,steam_appid
Pasta Master,1602440
7th Chance,1659650
Distant Memoraĵo,1591490
Propulsion,1654200
Ghost Exorcism INC.,1618540
Akinofa,1609800
Fostering Apocalypse,1667490
Falnarion Tactics: Oathbreaker,1562510
They All Come Back,1678410
Idle Atomic,1658620
Wildlife Match,1660370
BridgeFix 2=3-1,1679200
Guild of Darksteel,1356580
Zodiac DX,1397000
Robo-Worms,1577990
Raptor Boyfriend: A High School Romance,1273080
Lost At Sea,1278750
Dying Light,239140
Griddlers Beach Season,1665040
Kanamono,1673370
Existensis,1476800
3 O'clock Horror,1683070
Gang of Paws,1654310
Furious Seas,875760
3Cusion Masters,1657880
WOMG Lite version,1444420
The Protagonist: EX-1,1162570
Project Ara - Crucible,704970
100 hidden cats 2,1679320
Furs of Fury,1012430
Toroom,1684080
The Adventures of Herbie & Katt LeChatt,1656210
POG 4,1666810
Ravenland,997710
Escape from Nowhere,1680900
The Top of The Dream,1676670
Rhythmetallic,1673620
AE86 EUROBEAT DRIFT,1675100
50 Waves Hero,1673920
Magical Valkyrie Lyristia,1666510
Theseus - Mythological Hero,1655010
Dain Squares,1091380
Legacy of Vane,1555570
SPACE STORESHIP -スペースストアシップ-,1681020
Light Fighter,1688780
Occupation 2.5,1607400
Mythos Ever After: A Cthulhu Dating Sim RX,1579950
Follow Your Heart,1687030
Beard Blade,1546940
AKIBA'S TRIP: Hellbound & Debriefed,1236780
Fallen Knight,1378370
They're Coming,1673720
Evil Shogun,1505830
Now you can't see me,1644200
Adventure Mosaics. Granny’s Farm,1597870
Rescue Friends Solitaire,1587530
Samurai GUNN 2,1397790
An Un-epic story: The adventure of Enki and Tiny Freddie,1576230
Mini Motorways,1127500
"Cleaning Robot Match ""Scatter Battlers""",1520240
Renova,1579200
Clown In a House,1425510
Save The Octo,1676920
Magic gems,1664090
Hungry Bunny,1681560
Barking Puzzle,1673550
Ancient Dino Runner,1671390
AirFighter,1686340
Tank Zombie Smasher,1682610
Rolling Car,1682600
Ascent,1682620
Hungry Fish,1683720
SPACE DANCE,1683580
Hustle Game,1683590
Stuck Together,873000
Welcome To Graystone,1476290
Rogue Company,872200
Cris Tales,1079830
Death's Door,894020
Gabriel's Worlds The Adventure,1677430
Tactical Vanguard Saga,1678060
Goddess detective,1686480
TIERRA - Mystery Point & Click Adventure,1686980
Star Chaser in Sea World,1657200
BeerLeague Superstar,1651580
Horror Villa 恐怖撤锁,1684210
Kselebox,1687980
Shanghai1920,1679340
Wind of shuriken,1565030
Zombaliens,1653260
Power Of Slide,1545270
Ant Empire,933200
Duelist,1661390
MayBlues,1654070
Ablockalypse,1674300
My Cute Pagangirl,1631860
Urban Trial Tricky™ Deluxe Edition,1380060
Rat Prison,1688470
Fairyfail,1194670
Fresh Body,550840
Creeping Darkness,1682420
THE ORIGIN: Blind Maid l DEFINITIVE EDITION,1412680
idolYAKI: From Delinquents to Pop Stars,1686810
通天魔塔-MagicTower,1653120
Aery - Calm Mind,1623080
RPG: Squad battle,1675020
Loop Room,1686840
Tale of Ninja: Fall of the Miyoshi,966470
Command Line Pilot,1481630
Song of Farca,1435670
Dead-End Detective: The Sixpence Strangler,1680260
Timothy vs the Aliens,853060
The Best BJ,1488740
Summer of '58,1609080
Arcaduis,1684230
Temple Hunters,1459250
Craft Craft Craft!,1680250
The Secret of Retropolis,1288420
Fisticubes - One Button Boxing!,1651360
The Insignia Project,1631930
Detective Story: Reporter,1660590
Paranormal Files: Ghost Chapter Collector's Edition,1696040
Rioters 2025,1613100
Phantom Train,1656230
Twinstick Arcade,1488150
Martin Goes on the Attack,1619060
Tank Guards,1679770
AI Battle Royale Generator,1604450
CheeseCube,1393490
Stack Up! (or dive trying),1297090
Fill and Cross Trick or Treat,1665020
Halloween Patchwork Trick or Treat,1665060
Balls out of Control,1679270
Deca,960030
Abandoned Croxon Mansion,1661380
Dap: Prologue,1661880
Demon Slayer Akagi,1551230
夏まつりのハナビィ Hanaby's Summer Festival,1579850
Code angel,1662260
World for Two,1562930
Beat Defender,1645070
The Secret Blue Forest,1679690
Veg Out Crew,1552830
JUST HOOPS,1633080
Super Sami Roll,1554640
XSection,1675030
蛊婆 Lady in Tomb,1329350
Low Light Combat,1696820
MouseBot: Escape from CatLab,1652710
Angle Soccer,1673230
Grey Instinct,1570960
Potato's Dream,1452600
Anima Forest,1683140
Project: Vaccine A,1686530
Dot Dash Dot,1650790
The Witch Eye,1686680
Trailer Shop Simulator,1553230
Unshaded,1686060
Star Tank,1408760
Eggy,1523670
Lords of the Darkreign,1589830
Vidya Poker,1479840
Goop Loop,1454550
Sweet House,1659800
cherry blossom fleet,1564690
PEOPLEDOWN,1646230
Planet B24,1675640
Shut your teeth,1492980
Rhythm Race,1298310
Heal Hitler,1612480
Visitors: First Contact,1643700
Faded Grey,1674770
Where the Snow Settles,1428970
Who is the Liar?,1425550
Edge Of Galaxy,1199180
A Dog Named Mato,1635920
You Can't Finish,1682210
Asterism,1093830
Shades of Sakura,1678140
Reality's Reverse Side,1560590
my brother lives in a canyon,1641020
YUKI Space Ranger,1184500
Natural Instincts: European Forest,1168610
Last Stop,1122690
Interregnum Chronicles: Signal,1640710
Smoots Summer Games,1601220
Disturbing Forest: Demon's Path,1322830
PEGGO!,1684820
Practical Shooting Simulator,1392770
入替人-ReplaceR-,1667160
"Warhammer 40,000: Battlesector",1295500
Glisten to your heart: The courage within you,1683960
Greed: Abandoned Dogs,1239940
Misha Adventures,1683240
Parking Slide,1690820
Box And Ball,1508250
Dream Mirror,1682950
Eternal Dreamers,1317950
Metro Sim Hustle,882250
BeatJunkies,1632480
Thalassophobia,1534510
Sheepy,1448600
SIK Space Invader Kreature,1485970
Azurael’s Circle: Chapter 5,1682980
Road Bustle,1689420
SAVE THE UNICORN,1686160
Farmageddon: A Cattle Royale,1300330
Source of Survival Early Access,1665600
Ragdoll: Fall Simulator,1524400
Sur 2D Horror,1661580
Alley Catz Bowling,1689930
Dark Side of Fate,1681120
Your Adventure,1689550
2236 A.D. Secretary Stories,1627520
Captain Bones: Prologue,1671600
StOoPiD Puzzle Game,1678450
SlideNSlip,1686600
A Walk Through Echoes,1533780
No Hope,1594370
Chimeras: Cursed and Forgotten Collector's Edition,1702540
Present Danger,1547480
Art of Fury: Virtual Gallery,1682520
Cavern Commandos,1692480
PRINCESS IN AIRINESS,1688250
My Living Things,1688530
Moon Defence,1495800
Indigo 7,1669030
Drive-By Cop,1324630
The Grass,1680770
Tube Rolling,1657570
Cookie Space,876560
Stonescape,1646750
BlastFort,1682790
Pets No More,1581420
Neon: Eternal,1660200
VR Eagles of Victorian England,1689030
Four Kings One War,883680
Heroines,1648000
Shadows Behind the Throne 2,1511830
Soccer Cup Solitaire,1678740
Car Physics Simulator,1675090
YUME 2 : Sleepless Night,1607280
Sport Shooter,1331470
CubePuzzle,1683300
Trouble Inn: Jonny's Room,1593620
Red Frozen,1556960
Thief Shop,1580870
Orcs Must Die! 3,1522820
First Samurai,1672350
Football tournament,1691700
Retrowave Universe,1669130
Seblen: Battle!,1685950
Noosphere,1161430
简单的跑酷(Simple parkour),1685500
Super Crazy Nynja,1542080
Dude Simulator 4,1524750
That Time I Got Reincarnated as an Orc,1516080
Antithesis,1685010
The Plane Effect Prologue,1684510
Beauty Agent,1677730
A Way To Be Dead,1480030
Mystery Solitaire Grimm's Tales 3,1624890
Yoshimitsu Hatsumi,1686440
Match3 mania!,1686370
Sorcerous,1621100
Wind Wind,1510390
B.Y.O.O.L. - Best Years Of Our Lives,1688400
Beyond The Gates,1643190
JumpingFrog,1694020
Idol Manager,821880
Vermillion - VR Painting,1608400
Gun Game,1571750
Herder,1583170
Blackhaven,1668610
The Great Ace Attorney Chronicles,1158850
RhythmSlinger,521390
SAMURAI WARRIORS 5,1591530
Orbit-X,1625130
Game of Love,1673570
Mines & Dragons,1681620
Sakura Forest Girls 2,1630490
Intravenous,1486630
Puzzles with cats,1692590
Big NEON Tower VS Tiny Square,758010
Find the cubs,1694180
Gunmancer,1609170
Mini Racing World,1634090
White Eyes,1676720
Dash Dash Delivery,1661800
Two by One,1391570
Escape from the Office,1688240
Monster Academy,1628470
Pipe Dreamin' VR: The Big Easy,1686150
FINAL FANTASY,1173770
FINAL FANTASY III,1173790
Starveling Way,1696310
Mimir's Recruit,1682450
Gomoku Let's Go,1555400
FINAL FANTASY II,1173780
Kin's Chronicle,1617800
Need for sharp,1685790
Queen of Tower Defense,1692900
RETROLD,1683890
Schematic,1656850
Assignment 42,1641580
Adventures of Human Being,1654620
Aggressor,1619790
Wishlair,1665610
Within the Range,1693000
Chernobylite Complete Edition,1016800
Unnatural Disaster,1414400
The Forgotten City,874260
Animus: Revenant,1676740
DMN7,1519420
Ayo the Clown,1114900
In Space No One Can Hear You Clean,1677630
GrandChase,985810
PowerSlave (DOS Classic Edition),1260020
Leaf Me Alone,1687150
Wilma's Dreams,1586980
Symbiotic Love - Yuri Visual Novel,1575540
Combat Casino,1612380
XOMBEE MPFPS,1693390
Waifu Covered 2 : Censored Edition,1671400
Banners of Ruin,1075740
Vengeful Rites,755410
The Ascent,979690
Zombieland VR: Headshot Fever,1296970
ScrewUp,1695670
Meridian 157: Chapter 3,1689870
B.ARK,1416760
Escape from Naraka,1390670
Code Zero,1175490
The Witch Doctor,1694830
Conundrum,1696930
Kinduo,1648100
Cooking Simulator VR,1358140
Jewel Match Origins - Palais Imperial Collector's Edition,1448780
Starbase,454120
Eldest Souls,1108590
Nemithia,1621210
The Vagabond Emperor,1546770
Nothing To Remember,1613490
Career of the President,1646480
Destroy All The Cubes,1688290
Betrayer: Curse of the Spine - Prologue,1686050
Tribes of Midgard,858820
HighFleet,1434950
SIGURAT,1680560
Action Commando 2,1646820
Serious Sam: Kamikaze Attack!,1623420
Shadows on the Vatican: Nightingale,1182530
Hell Let Loose,686810
Blightbound,1263070
Clone Drone in the Danger Zone,597170
Beside Myself,1564110
Z Mutants,1687430
DeMagnete VR,995270
Night Book,1477920
Echo of Combats,931070
Bouncy Cloud,1572910
Tackle Girl,1676440
Car Looper,1543650
HuGe,1650040
Destruction Time!,1666660
Light Pursuer,1694300
Cursed House,1693190
Space Intervention,1694120
Vampire: The Masquerade — Out for Blood,1290350
Skydrift Infinity,827330
Big Fish,1689530
Reptiles: In Hunt,897380
Paint the Town Red,337320
LaserZone,1125880
The Cyclist: Tactics,1237070
SPACE TOW TRUCK - ISAAC NEWTON's Favorite Puzzle Game,1273600
Yummy Mahjong,1689980
Pedro's Adventures in Spanish [Learn Spanish],1602930
Crimson Glaive Sigma,1666240
Fairy Sister,1693500
Pill Puzzle: One Move,1697080
Pingers,1442410
One thousand baht simulator,1691380
Dark Forest Project,1693360
Alpaca Stacka,1655140
Blaster Master Zero 3,1588380
MIRAY,1410600
Abomi Nation,1193590
Viking Heroes 2,1674980
Fuga: Melodies of Steel,1357860
Omno,969760
Get Packed: Fully Loaded,269850
Unbound: Worlds Apart,814680
Synth Run,1680660
Battlegrounds : First Blast,1688460
Moonshot - The Great Espionage,1492610
Magic Manny,1639860
COPPER ODYSSEY,1693650
LoBlocks,1697810
Green Steel,1645920
HORROR TALES: The Wine,1340640
Billiards Dungeon,1530130
Cupid's Palace,1695040
Mini Madness,1603960
Sovereign Tea,1613950
FurBall,1375070
SYDE Rugby League Simulator,1679530
Profectus,1683610
Vomitoreum,1549750
Anopek,1586370
Destroy The Shogun,1676090
Operation Insanity,1627180
No Longer Home,651490
Wardwell House VR,1694530
inbento,1567440
Vesper: Zero Light Edition,1187840
Eternal Secret,1489020
Shin Lotion Samurai,1655920
What TIME Is It,1648720
Hodl Simulator,1693210
BUSTAFELLOWS,1494470
CUCCCHI,1677140
Wolf Adventures,1545570
Historic Fighters,1692850
Funny Truck,1697600
Alien Destroyer,1697420
Bizarre Mutation World,1692010
Atopes,1470120
Murder on the Marine Express,1673560
Matchsticks - Coffee Break Club,1614340
Alone,1640090
Luminyte,1632960
TurBot,1677620
Domino Sandbox,1677520
Tower of Doom,1509840
For Evelyn,1292860
Alzheimer's: Memories,1624990
Golf For Fun,1671710
NightShift,1484340
OshiRabu: Waifus Over Husbandos ~Love･or･die~,1644150
Beat Souls,1596370
Sapling,1679960
Ironfell,1693750
The Ninth Way,1295910
Cliché Adventure,1671440
Twin Balls,1700380
Legend of Chilli Tree,1635250
Altarays,1689140
Dragon's Vengeance,1667540
Driving Simulator 2022,1592390
Splash Jump,1699780
Be The ONE,1659340
Fomalhaut Flowers,1693100
Seafarers,1600960
Godkiller,1558600
Puzzle Soccer,1693230
SEDOMAIRI / せどまいり,1684220
In My Defense,1522690
Valley General Hospital: NiVR,1607140
BSurfing,1644600
Where is my mom,1584440
Recursive Hate - Spider Hell,1628270
Sweeping the Ruins,1630880
Really Weird Pool,1658050
ColorBlend FX: Desaturation Prologue,1663930
duamo,1690290
CUBE-e,1695970
Hyper Dungeon Crawler,1570290
Color by Number - Medieval Portrait,1697470
Protect Eggs,1685660
"Devil, It's me",1584720
U.F.O. K.O. Tower Defense,1651940
OFFICESCAPE,1678960
Venaitura,1664240
Metal Faith,1684240
Powerslide Legends,1246130
Medium: The Psychic Party Game,1481940
Evaverse,1628750
Duck Flight Simulator 2021,1519190
Meteor Storm,1690500
Street Racer,1672340
Miriel Saga,1148710
Speedpunk,1589370
Fantasy Dungeon VR,1597210
Who Stole My Beard?,1141270
Creatures of Aether,1593750
Calculate It!,1589440
Zoelie - SCAD Games Studio,1592240
Doggone Hungry,1563490
GRIME,1123050
DICHOTOMY,1306910
Little adventure 2,1691290
Big Farm Story,1329510
Welcome to the Polyverse,1370820
Saving Ghost,1693900
The Village,1637540
An Odd Tale,1651850
RE:Jump Boy,1660360
The Prabbits: Happy Dogfights !,1402740
EVERSLAUGHT,1530750
Cirno'sBattleofFaith,1370060
Crimson Colosseum,1187130
Gachimuchi Life Simulator,1690360
乡间,1689480
Smithy Wars,1682580
The Trader,1692470
Operation Airsoft Beta,1509420
Donutis Simulator,1672280
Roll a Ball With Your Friends,1548400
Kaboom!,1574670
Oatmeal,1677260
TeleNovela,1687050
Kungfu Cowboy,1499220
Coloring Game 4,1554790
THE ILLUSION,1690640
Grim Tales: The Heir Collector's Edition,1709450
Heart Fragment,1253880
GATE,1689250
Doomsday Vault,1500980
SALIGIA,1678750
Wounded,1631290
VR Graffiti World,1499820
VR Basketball Hoops,1488730
VR Mad Asylum,1488720
VR Immortal Fight,1488750
FlyChivements,1692630
Watashi no Kokoro!  君の事が好きです。,1700450
Haven Park,1549550
Star Hunter DX,1451030
Starmancer,1062000
Virtual Amusement,1668010
Alien Flex,1653250
Space Ship Infinity,1482050
Orbals,1308220
CHR$(143),1695620
Toodee and Topdee,1303950
Demons of Asteborg,1382790
Stellar Warfare,1113030
Wide Open,1556420
Sudokolorful,1693610
Bang For Your Truck,1298680
County Hospital,1697560
Survive Into Night,1581380
Lifeslide,956140
snowboarding,1668670
Aspiring Light,1248390
The Adventures of Dinobot and Tiara!,1699820
Chicken Utopia,1647020
Armed Emeth,1641510
Don't Cut Your Hand 2,1623650
Hextones: Spacetime,1652720
Escape to Mars,1690390
Tyfortress: Tactical Typing,1661700
Pierhead Arcade 2,572620
IdolDays,1576130
Weltreich: Political Strategy Simulator,1481150
Order Road,1637570
Jupiter Hell,811320
"game about games - первый интерактивный ""журнал"" об играх",1668280
Dark Roll: Free Kick Challenge,1290260
SHIPS AT WAR,1557420
Blood of the Alchemists,1520580
Bananarun,1439400
Yellow Ballman,1666190
Dodgeball Academia,1422420
Dreamscaper,1040420
Android Lode-Runner,1384420
Sam & MaRU,1595540
Death Trash,941460
Sin-Cay,1680440
Super CosmoJet,1353330
Rings of Hell,1668640
Rick Henderson,1023790
BullyBall,1512950
Power & Revolution 2021 Edition,1683320
BEACHED,1412190
Secret of the Rendrasha Blade CH1&2,738700
Hexagon World,1701040
Super Raft Boat VR,1595490
Shwip,349710
Valor,1668580
Ragdoll Party Online,1228910
Customers From Hell - Game For Retail Workers (Zombie Survival Game),1526360
Fm45's Sprite Man Adventures,1692570
MY TIME ALIVE,1673360
GoBlaster,1638930
Here Comes Niko!,925950
The Ramp,1506510
Svoboda 1945: Liberation,1076620
Plumber 2,1699770
SpiderPunks,1597160
Callparin 2,1464320
Runes of Avalon 2,1683510
Corridor 7: Alien Invasion,1341890
Operation Body Count,1627120
Almost My Floor,1298080
Before Akhira,1686710
PropHunter,1682050
Lostria,1687090
Mithos,1704130
Obscura,1699830
Bless Unleashed,1254120
The Elysian Field,1657290
Evorales,1682840
The Loneliest Artist Revamp,1640920
Brave Hand,763340
SATORI,1451970
Colors!,1703230
Panda Push,1630820
DRAMA,1703480
Grey Lucidity - Horror Visual Novel,1642460
SPACE ALPHA,1487750
Aran's Bike Trip,1711690
Super Onion Boy 2,1624350
VR shooting cute balloons,1691230
VR Military Reporter in Middle East (with tanks & helicopters),1692890
Pirates vs monkeys,1704780
Cyber Defense,1683910
Smalles,1704760
Reincarnation of Ocean,1699510
Spaceship Simulator,1573540
Bear Soul,1638730
Chromancy,1704260
Chubmen's Strange Case File~Chapter Of Corridor~,1703620
Jump Hero: Beginning,1396390
Jigsaw Frame: Relax,1685610
Reflections of Life: Meridiem Collector's Edition,1716660
Cube Island,1587910
Hunter Girls,1683900
Orbital Defence Command,1637100
[Chilla's Art] The Night Way Home | 帰り道,1671550
Life Can Be Amazing,1697780
Rescuer,1606610
Fear Protocol: Shadow Paradigm,1686620
Eternal Cave Escape,1533280
Mandacaru,1690740
Cats - Classic Onet Connect,1701150
Razenroth 2,1425370
Zenko: A Fox's Tale,1632210
Descent: Legends of the Dark,1611070
Simple Fish Adventure,1698520
Misery Street,1470720
Accident On the Simple Rd,1491550
When The Night Comes,1400870
Armada,1689410
Fish Heads,1682870
Lihue,1298850
City of Gangsters,1386780
DarkFighter,1680050
Island of Girls Dreams,1706440
GUN&DUN,1704820
Burned Land,833170
Ubirajara,1696740
TheLastHope,1553990
Time Tails,1637610
Cute Cats,1667400
Dungeon Arena,1705540
Logistics Simulator,1617420
The Curse Of Esrevni,1654530
Glyph☀️,1569150
Larry The Unlucky Part 1,1692430
Vtuber Simulator : Vtuber模擬器,1704060
ZEROED,1274970
REDITUM,1578710
Balls! Balls!,1703460
Marble Parkour 2: Roll and roll,1674960
Dev Inc,1612540
Lethal Pongbat,1644220
- R E F L E C T E D -,1692280
OCO,1165450
Brotate,1699970
Advent Crossroad,1675480
Cat’s Princess - visual novel / Otome,1553740
Hidden Shapes Black Skull - Jigsaw Puzzle Game,1692580
12 locks and keys,1703470
Kitty Adventure,1705560
Boyfriend Dungeon,674930
Garden Story,1062140
FOOTBALLER,1672170
Car Mechanic Simulator 2021,1190000
Seed of Life,1030060
Sigma Impact,1654890
Trump Loves Russia,1692210
You Can Kana - Learn Japanese Hiragana & Katakana,1031900
CreatorCrate,1027060
SpaceSeals,1708030
Dust to the End,1074070
Romeow: to the cracked Mars,1677410
Abridged,1646660
PuppeTNetiK - Speedrun Challenge,1565840
Furry Feet,1694960
Dungeon D14,1613630
Library Of Ruina,1256670
The Key of Rednow,1703030
Hellblusser,1695480
Lawn Mowing Simulator,1480560
Black Book,1138660
Carrier Command 2,1489630
Patron,1538570
Quantum Runners,1183160
The Island,1377590
Deus Lo Veult,1462330
Cyber Rider,1508200
Animals Memory: Monkeys,1707770
Find Objects,1706890
My Garage,1578390
TripleBuilder,1700780
Cooking Trip New Challenge,1566820
Descend into Madness,1698740
Red Brick Hotel,1707880
DarkCoating,1705350
Star Chef 2: Cooking Game,1612810
Maze Banquet,1334420
Vulgord's Tower,1457340
Jude,1694970
Button City,1273750
Peblito: Rock and Roll,1696230
4Prot,1632020
Jelly,1705500
JAB!,1504050
Microgravity,1559770
Mini Jumper,1688810
Monkey Tantrum,1688800
UnScared,1711230
Blood Spear,1638660
Hero of the Demon,1572330
Get Stuffed!,1704070
WaveTiles,1576540
Touhou DollDraft,1341460
PAW Patrol The Movie: Adventure City Calls,1434310
UpGun,1575870
Jelly 2,1710600
Larry The Unlucky Part 2,1705590
Rage Quit,1674720
Pirates of the Asteroid Belt,1550950
Tsugunohi,1322300
Candy gun,1709090
Mr.Knight,1696380
HamsterVeRse,1668480
Anime Zodiac,1700940
Unchosen: Forsaken,1608010
BoomXR,1525810
On Scene - The Horror Stories of Fred & Karen,1691010
MineSweeper 3D 三维扫雷,1553570
Road 96 🛣️,1466640
Time Knight Adventures,1651410
Chasing Tails ~A Promise in the Snow~,1555110
A Clever Label,1627660
Apostle 3D,1505720
Dark Threads,1622060
Puzzle Light: Slide,1710140
Cyberflight,1657350
Endorfire Tower Defense,1672960
Stacky Desktop Edition,1706120
Baron Magic,1584430
Jogward,1586230
Chimeras: What Wishes May Come Collector's Edition,1719220
Fantoccini,1598090
Another Dungeon,1710710
Our Personal Space,1703600
Crowalt: Traces of the Lost Colony - Prologue,1567260
Infinity Tempest,1702780
Furry Shakespeare: Dreamin' of One Lazy Dead Midsummer,1512370
Space to Grow,1706470
Orb Tour,1692940
Bionite: Origins,414770
Dinosaurs Prehistoric Survivors,768540
Fight with love - deckbuilder datingsim,1273940
Walking into Walls,1710220
TITANKIN: Prologue,1451760
Radioactive Dwarfs: Evil From The Sewers,1403080
Dice Tourney,1709260
Orenji-iro no Kumo,1711960
Ninja Stealth 4,1711840
1001 Jigsaw Detective,1624900
Untangle,1686850
Firelight Fantasy: Phoenix Crew,1595000
Casual Golf,1680070
Custom Machinery,1709820
Demon Strikes Back,1402420
Axial Disc 1,1638430
The Doors of Trithius,1519490
Strange Nightmares,1513780
Lingering Legacy,1618090
Coral Quest,1677480
Orakyubu,1654900
Jigsaw With Animals,1711160
Ecila,1689720
Code Zero,1585390
Life is Hard,414080
SudoKats,1706190
Escape from DuFo,1705480
Clean Slate,1568920
Nightmares to be,1694810
Xenia's Ark,944640
Gospel of Abaddon,1507850
White Hell,1378360
Tetragon,1545850
Seeker: My Shadow,1253930
Memories with my Kitten,1651540
Blair Witch VR,1576350
Vizzle,1691860
Fire Tonight,1188900
Marble Pop Paradise,1707840
Faraday Protocol,1107750
Battlemage: Magic by Mail,1663950
FORECLOSED,1308880
Connect The Dots,1605190
Another Cat in Dungeons,1692390
Gelly Break Deluxe,1690060
World Legends,1655910
Savior of the Abyss,1590640
Academy of Magic: Dark Possession,1663940
non - The First Warp,761730
Hit Confirmed,1710530
Arena 54 - Visual Novel Action Adventure,1698120
Tales of the Mirror,1649830
NARAKA: BLADEPOINT,1203220
Rookie Bowman,1712360
Mike the Cat,1713470
Sphere Arena,1679490
Save Iron Globe,1328510
Cavegirl Adventures,1710400
Robo-Boy  Risky Venture,1713910
Slime Killer,1710490
Joyspring,1532360
New Meaning,1673780
Gemstone Defense,1677300
Descent Vector: Space Runner,1580380
Sengoku - A Time of Warriors and Demons,1699870
Mercenary Operator: Wolves,1656740
"Imperivm RTC - HD Edition ""Great Battles of Rome""",752580
Woody Chopper,1281690
Overheat,1710590
OMNIA,1652480
Last Village,1594340
The Thief Girl ~ 盗賊少女 ~,1533770
Captain Collision,1693380
EscapeThisBigMaze!,1707090
Geo-Duck,1707050
QB Planets,1627920
Fifefer Island - Terrena's Adventure,1681520
Tizahl's Quest,1651980
RiMS Racing,1346010
Hell Architect,1063980
Wall of insanity,1713720
Lounge zone,1709950
Mayhem Brawler,1306720
Blobkin Blaster,1297540
Yuoni,1444410
Confessions,1400700
Spawn Kings,1576920
Ball Partner,1701470
Side Decide,1081500
Bullfrogs,1589670
灵异AE,1708290
Route Me Mail and Delivery Co,1710310
Killer Gin Battle Arcade,1689880
Northern Journey,1639790
Cold Hill,1646770
Beldamos Miner,1663010
VR Pianist,1544240
World Soccer Strikers '91,877870
Mortal Shell,1110910
MakerKing,1518440
Soulbound Steel,1583610
Ambition: A Minuet in Power,949200
Dwarves: build and survive,1585750
Zool Redimensioned,1647730
Cosmo's Quickstop,724680
Neon Nights Pinball,1700040
START AGAIN: a prologue,1691420
100 days,1704530
World of bombs,1710550
Pro Pain Labs,1695310
The Dive,1712570
Tetris® Effect: Connected,1003590
Emergency Crew Volcano Eruption,1690240
War Beasts,1706670
Unreal Sandbox,1573330
Deadlokk,1592950
The Far Kingdoms:  Magic Mosaics,1703950
Inside Soccer,1589480
Couplinked,1404870
Sunshine Heavy Industries,1542810
Chromatic Fantasy,1635650
Singulive,1694160
Greak: Memories of Azur,1311070
wav ocs game,1661210
HUMANKIND™,1124300
Awesome Puzzle,1713660
OctoQuest,1707040
Conquest of Elysium 5,1606340
Destructive Physics - Destruction Simulator,1024460
Between Two Cities - Stonemaier Games,1711930
Skeleton vs zombies,1184750
Dragon And Home,1694200
Madden NFL 22,1519350
PSYCRON,1368410
Street Striker,1628940
Ransack Raccoon,1713640
Football Academy Clicker,1542370
Ultimate Bumper Cars - Dodgems,1520640
Go Emoji Go The Maze,1713210
Megania Online,1715380
Magnesium_173,1157200
Detective VR: NFT secret Files,1610670
Twelve Minutes,1097200
Blackout: The Darkest Night,875400
BlackberryNOVA,939870
Fear Corporation,1697680
Stones of Harlath,304870
Blood for Poppies,1707720
Recompile,986310
The Vale: Shadow of the Crown,989790
Watermelon Country,1714090
Kursor,1698570
Pirates of the Sea,1714380
VGL: Imperative,1684330
NIGHTSLINK,1612920
A Day In Space,1698400
Bird's Eye,1640000
UFO vs Bikini,1660750
Metal Golem: First Contact,1713410
Heartbeat: Regret,1683310
Jubilane,1699460
Heroes of Yore,1679330
SuperCupOnline,1370600
Station Commander,1713530
Medieval Wars,1715530
Mirastell,1262500
Purrgatory,1713610
Physics Cake,1488670
AimGoGoGo,1705020
Furious Revenge of Bolo,1650130
Project Martians,1715250
ELEC,1709150
Endless mahjong,1717120
Granny 3,1707550
The Maracot Deep,1693530
War Of Gold,1688200
Oozing Islands,1680380
The Endless Adventure,1709040
Noctambulant,1620640
King's Bounty II,1135300
I Expect You To Die 2: The Spy and the Liar,1499120
Calturin,1515470
City Game Studio: Your Game Dev Adventure Begins,726840
Pak Sung Bo Wing Chun,1672420
Ki11er Clutter,1700680
Hoa,1484900
MouthSimulater: MelonSeedsCracker,1715720
Porter in the Castle,1691790
King Of The Pit,1710570
TAG Police Sentri,1697620
Fracture Hell,1713770
POG 5,1699450
雨音スイッチ - Amane Switch -,1692000
Panda in the clouds,1712310
Aliens: Fireteam Elite,1549970
Brick People,1697250
LABYRINTH OF TOUHOU - GENSOKYO AND THE HEAVEN-PIERCING TREE,1131920
Puzzle Box,1715950
DeadLock,1688690
Space Drone: Rescue Mission,1658650
Somewhere in the Shadow,1577320
Fire Sale,1622980
Treasure of Barracuda,1583630
WAVER: A Typing Adventure,1393690
Super Shield Dash,1657280
Surface: Virtual Detective Collector's Edition,1726790
Tavern of Gods,1418020
Wrestledunk Sports,1301520
Creas,1530040
Creepy Pizza Arcade,1672470
Weapons Knight,1652080
ShiroKuro's Adventure,1707280
Nayati River,1278150
The Bolt Age,1623870
Pill Puzzle 2,1698640
Space Scavenger,1040460
Arietta of Spirits,1140170
IN THE DARK,1384760
Legend Of The Ape,1710810
Never Return,1612620
Totally Working Game,1694720
Incel Syndrome,1512470
Markus Ritter - The Lost Family,1644310
WoodHeart,1675690
All Dream Long A Flower Storm,1688850
Little Cube Trip,1715290
Twilight Memoria,1402900
Mouse adventure,1639140
Draw Music,1689570
DPS IDLE,1349540
The Slimeking's Tower,458660
Dinobag's Arcade,1633100
Super Nova Stadium,1599710
Breaking earth,1594790
Rocket Explorer,1445010
Air Hunter,1713170
Brave Dungeon + Dark Witch's Story : Combat,1712820
Chupacabras: Night Hunt,1706570
Fossilfuel,1597040
Typing Incremental,951930
Washed Up,1670050
Bird Boxing,1360140
Extreme Speed,1715220
100 hidden rams,1708190
A Field of Flowers and Stars,1363160
Alice Trapped Beyond Wonderland,1710250
